CURRENCY_CODE,CURRENCY_DESCRIPTION,CURRENCY_CODE_ISO_NNN,CURRENCY_ISO_MINOR_UNIT,IS_CURRENT_FLAG,IS_DELETED_FLAG,VALID_FROM_DATETIME,VALID_TO_DATETIME
VEF,Bolivar Fuerte,937,2,N,Y,2008-01-01,2011-11-30
VEF,Bolivar,937,2,N,Y,2011-12-01,2016-01-31
VEF,Bolívar,937,2,N,Y,2016-02-01,2018-08-19
SDG,Sudanese Pound,938,2,Y,N,2007-01-10,9999-12-31
GHP,Ghana Cedi,939,2,N,Y,1900-01-01,2007-05-31
UYI,Uruguay Peso en Unidades Indexadas (UI),940,0,Y,N,2002-06-01,9999-12-31
RSD,Serbian Dinar,941,2,Y,N,2006-10-25,9999-12-31
ZWN,Zimbabwe Dollar (new),942,2,N,Y,2006-08-01,2008-07-31
MZN,Mozambique Metical,943,2,Y,N,2006-07-01,9999-12-31
AZN,Azerbaijan Manat,944,2,Y,N,2006-01-01,9999-12-31
AYM,Azerbaijan Manat,945,0,N,Y,2005-06-01,2005-10-13
RON,New Romanian Leu,946,2,N,Y,2005-07-01,2015-05-31
RON,Romanian Leu,946,2,Y,N,2015-06-01,9999-12-31
CHE,WIR Euro,947,2,Y,N,2004-12-01,9999-12-31
CHC,WIR Franc (for electronic),948,2,N,Y,1900-01-01,2004-11-30
CHW,WIR Franc,948,2,Y,N,2004-12-01,9999-12-31
TRY,New Turkish Lira,949,2,N,Y,2005-01-01,2008-12-31
TRY,Turkish Lira,949,2,Y,N,2009-01-01,9999-12-31
XAF,CFA Franc BEAC,950,0,Y,N,1973-04-01,9999-12-31
XCD,East Caribbean Dollar,951,2,Y,N,1965-10-06,9999-12-31
XOF,CFA Franc BCEAO,952,0,Y,N,1958-11-24,9999-12-31
XPF,CFP Franc,953,0,Y,N,1945-12-26,9999-12-31
XEU,European Currency Unit (E.C.U),954,0,N,Y,1979-01-01,1998-12-31
XBA,Bond Markets Unit European Composite Unit (EURCO),955,N.A.,Y,N,1900-01-01,9999-12-31
XBB,Bond Markets Unit European Monetary Unit (E.M.U.-6),956,N.A.,Y,N,1900-01-01,9999-12-31
XBC,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),957,N.A.,Y,N,1900-01-01,9999-12-31
XBD,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),958,N.A.,Y,N,1900-01-01,9999-12-31
XAU,Gold,959,N.A.,Y,N,1900-01-01,9999-12-31
XDR,SDR (Special Drawing Right),960,N.A.,Y,N,1969-07-28,9999-12-31
XAG,Silver,961,N.A.,Y,N,1900-01-01,9999-12-31
XPT,Platinum,962,N.A.,Y,N,1900-01-01,9999-12-31
XTS,Codes specifically reserved for testing purposes,963,N.A.,Y,N,1900-01-01,9999-12-31
XPD,Palladium,964,N.A.,Y,N,1900-01-01,9999-12-31
XUA,ADB Unit of Account,965,N.A.,Y,N,2011-04-07,9999-12-31
ZMW,Zambian Kwacha,967,2,Y,N,2013-01-01,9999-12-31
SRD,Surinam Dollar,968,2,Y,N,2004-01-01,9999-12-31
MGA,Malagasy Ariary,969,2,Y,N,1983-11-01,9999-12-31
COU,Unidad de Valor Real,970,2,Y,N,2000-01-01,9999-12-31
AFN,Afghani,971,2,Y,N,2002-10-07,9999-12-31
TJS,Somoni,972,2,Y,N,2000-10-26,9999-12-31
AOA,Kwanza,973,2,Y,N,1999-12-13,9999-12-31
BYR,Belarusian Ruble,974,0,N,Y,2000-01-01,2017-01-01
BGN,Bulgarian Lev,975,2,N,Y,1999-07-05,2026-01-31
CDF,Congolese Franc,976,2,Y,N,1998-07-01,9999-12-31
BAM,Convertible Mark,977,2,Y,N,1995-01-01,9999-12-31
EUR,Euro,978,2,Y,N,1999-01-01,9999-12-31
MXV,Mexican Unidad de Inversion (UDI),979,2,Y,N,1995-04-04,9999-12-31
UAH,Hryvnia,980,2,Y,N,1996-09-02,9999-12-31
GEL,Lari,981,2,Y,N,1995-09-23,9999-12-31
AOR,Kwanza Reajustado,982,0,N,Y,1995-07-01,2000-02-01
ECV,Unidad de Valor Constante (UVC),983,2,N,Y,1993-05-23,2000-01-09
BOV,Mvdol,984,2,Y,N,1900-01-01,9999-12-31
PLN,Zloty,985,2,Y,N,1995-01-01,9999-12-31
BRL,Brazilian Real,986,2,Y,N,1994-07-01,9999-12-31
BRR,Cruzeiro Real,987,2,N,Y,1993-08-01,1994-07-01
LUL,Luxembourg Financial Franc,988,N.A.,N,Y,1970-01-01,1990-03-05
LUC,Luxembourg Convertible Franc,989,N.A.,N,Y,1970-01-01,1990-03-05
CLF,Unidad de Fomento,990,4,Y,N,1967-01-20,9999-12-31
ZAL,Financial Rand,991,2,N,Y,1985-09-01,1995-03-13
BEL,Financial Franc,992,N.A.,N,Y,1970-01-01,1990-03-05
BEC,Convertible Franc,993,N.A.,N,Y,1970-01-01,1990-03-05
XSU,Sucre,994,N.A.,Y,N,2010-08-17,9999-12-31
ESB,"""A"" Account (convertible Peseta Account)",995,N.A.,N,Y,1975-01-01,1994-12-31
ESA,Spanish Peseta,996,N.A.,N,Y,1978-01-01,1981-12-31
USN,US Dollar (Next day),997,2,Y,N,1900-01-01,9999-12-31
USS,US Dollar (Same day),998,2,N,Y,1900-01-01,2014-03-01
XXX,The codes assigned for transactions where no currency is involved,999,N.A.,Y,N,1900-01-01,9999-12-31
XRE,RINET Funds Code,,N.A.,N,Y,1900-01-01,1999-11-30
XFU,UIC-Franc,,N.A.,N,Y,1900-01-01,2013-11-30
XFO,Gold-Franc,,N.A.,N,Y,1930-01-01,2003-04-01
DQMapping,Source value cannot be mapped,,N.A.,Y,N,1900-01-01,9999-12-31
DQMissing,Source value not provided,,N.A.,Y,N,1900-01-01,9999-12-31
DQNotApplicable,Source value not required,,N.A.,Y,N,1900-01-01,9999-12-31
