"MERCHANT_CATEGORY_CODE","MERCHANT_CATEGORY_DESCRIPTION","IS_CURRENT_FLAG","IS_DELETED_FLAG","VALID_FROM_DATETIME","VALID_TO_DATETIME"
"3174","Jetblue Airways Jetblue","Y","N","1900-01-01","9999-12-31"
"3175","Middle East Air Mideast Air","Y","N","1900-01-01","9999-12-31"
"3176","Metroflight Airlines Metroflt Air","Y","N","1900-01-01","9999-12-31"
"3177","Airtran Airways Airtranair","Y","N","1900-01-01","9999-12-31"
"3178","Mesa Air Mesa Air","Y","N","1900-01-01","9999-12-31"
"3180","Westjet Airlines Westjetair","Y","N","1900-01-01","9999-12-31"
"3181","Malev Malev Air","Y","N","1900-01-01","9999-12-31"
"3182","Lot (Poland) Lot Air","Y","N","1900-01-01","9999-12-31"
"3183","Oman Aviation Services Omanair","Y","N","1900-01-01","9999-12-31"
"3184","Liat Liat Airline","Y","N","1900-01-01","9999-12-31"
"3185","Lav (Venezuela) Lav Air","Y","N","1900-01-01","9999-12-31"
"3186","Lap (Paraguay) Lap Air","Y","N","1900-01-01","9999-12-31"
"3187","Lacsa (Costa Rica) Lacsa Air","Y","N","1900-01-01","9999-12-31"
"3188","Virgin Express Virginexpair","Y","N","1900-01-01","9999-12-31"
"3190","Jugoslav Air Jugoslav Air","Y","N","1900-01-01","9999-12-31"
"3191","Island Airlines Island Air","Y","N","1900-01-01","9999-12-31"
"3192","Iran Air","Y","N","1900-01-01","9999-12-31"
"3193","Indian Airlines Indian Air","Y","N","1900-01-01","9999-12-31"
"3195","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3196","Hawaiian Air Hawaiian Air","Y","N","1900-01-01","9999-12-31"
"3197","Havasu Airlines Havasu Air","Y","N","1900-01-01","9999-12-31"
"3198","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3199","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3200","Guyana Airways Guyana Air","Y","N","1900-01-01","9999-12-31"
"3203","Golden Pacific Air Goldpac Air","Y","N","1900-01-01","9999-12-31"
"3204","Freedom Air Freedom Air","Y","N","1900-01-01","9999-12-31"
"3206","China Eastern Airlines Chineastair","Y","N","1900-01-01","9999-12-31"
"3207","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3211","Norwegian Air Shuttle Norwegianair","Y","N","1900-01-01","9999-12-31"
"3212","Dominicana Dominica Air","Y","N","1900-01-01","9999-12-31"
"3213","Braathens Regional Airlines Braathens Regional Air","Y","N","1900-01-01","9999-12-31"
"3215","Dan Air Services Danairserv","Y","N","1900-01-01","9999-12-31"
"3216","Cumberland Airlines Cumberlndair","Y","N","1900-01-01","9999-12-31"
"3217","Csa Csa Airline","Y","N","1900-01-01","9999-12-31"
"3218","Crown Air Crown Air","Y","N","1900-01-01","9999-12-31"
"3219","Copa Copa Air","Y","N","1900-01-01","9999-12-31"
"3220","Compania Faucett Comp Fau Air","Y","N","1900-01-01","9999-12-31"
"3221","Tame Airline","Y","N","1900-01-01","9999-12-31"
"3222","Command Airways Command Air","Y","N","1900-01-01","9999-12-31"
"3223","Comair Comair","Y","N","1900-01-01","9999-12-31"
"3226","Skyways Air Skyways Air","Y","N","1900-01-01","9999-12-31"
"3228","Cayman Airways Caymanair","Y","N","1900-01-01","9999-12-31"
"3229","Saeta Air","Y","N","1900-01-01","9999-12-31"
"3231","Sahsa – Servicio Aereo De Honduras Sahsa Air","Y","N","1900-01-01","9999-12-31"
"3233","Capitol Air Capitol Air","Y","N","1900-01-01","9999-12-31"
"3234","Caribbean Airlines Caribbeanair","Y","N","1900-01-01","9999-12-31"
"3235","Brockway Air Brockway Air","Y","N","1900-01-01","9999-12-31"
"3236","Air Arabia Airline Air Arabia","Y","N","1900-01-01","9999-12-31"
"3238","Bemidji Airlines Bemidji Air","Y","N","1900-01-01","9999-12-31"
"3239","Bar Harbor Airlines Barharborair","Y","N","1900-01-01","9999-12-31"
"3240","Bahamasair Bahamasair","Y","N","1900-01-01","9999-12-31"
"3241","Aviateca (Guatemala) Aviateca Air","Y","N","1900-01-01","9999-12-31"
"3242","Avensa Avensa Air","Y","N","1900-01-01","9999-12-31"
"3243","Austrian Air Service Aust Airserv","Y","N","1900-01-01","9999-12-31"
"3245","Easyjet Airlines Easyjet Air","Y","N","1900-01-01","9999-12-31"
"3246","Ryanair Ryanair","Y","N","1900-01-01","9999-12-31"
"3247","Gol Airlines Gol Air","Y","N","1900-01-01","9999-12-31"
"3248","Tam Airlines Tam Air","Y","N","1900-01-01","9999-12-31"
"3251","Aloha Airlines Aloha Air","Y","N","1900-01-01","9999-12-31"
"3252","Alm Alm Airline","Y","N","1900-01-01","9999-12-31"
"3253","America West Airlines","Y","N","1900-01-01","9999-12-31"
"3254","Us Air Shuttle Usairshutl","Y","N","1900-01-01","9999-12-31"
"3256","Alaska Airlines Alaska Air","Y","N","1900-01-01","9999-12-31"
"3259","American Trans Air Ata Air","Y","N","1900-01-01","9999-12-31"
"3260","Spirit Airlines Spirit Air","Y","N","1900-01-01","9999-12-31"
"3261","Air China Air China","Y","N","1900-01-01","9999-12-31"
"3262","Reno Air, Inc. Reno Air","Y","N","1900-01-01","9999-12-31"
"3263","Aero Servico Carabobo Asc Airline","Y","N","1900-01-01","9999-12-31"
"3266","Air Seychelles Air Seych","Y","N","1900-01-01","9999-12-31"
"3267","Air Panama Air Panama","Y","N","1900-01-01","9999-12-31"
"3268","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3273","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3274","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3275","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3276","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3277","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3279","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3280","Air Jamaica Air Jamaica","Y","N","1900-01-01","9999-12-31"
"3281","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3282","Air Djibouti Air Djibouti","Y","N","1900-01-01","9999-12-31"
"3284","Aero Virgin Islands Aervirginis","Y","N","1900-01-01","9999-12-31"
"3285","Aeroperu Aeroperu","Y","N","1900-01-01","9999-12-31"
"3286","Aerolineas Nicaraguensis Aeronicarag","Y","N","1900-01-01","9999-12-31"
"3287","Aero Coach Aviation Aerocoach Av","Y","N","1900-01-01","9999-12-31"
"3291","Ariana Afghan Airlines","Y","N","1900-01-01","9999-12-31"
"3292","Cyprus Airways Cyprus Air","Y","N","1900-01-01","9999-12-31"
"3293","Ecuatoriana Ecuatoriana","Y","N","1900-01-01","9999-12-31"
"3294","Ethiopian Airlines Ethiopian Air","Y","N","1900-01-01","9999-12-31"
"3295","Kenya Airways Kenya Air","Y","N","1900-01-01","9999-12-31"
"3296","Air Berlin Air Berlin","Y","N","1900-01-01","9999-12-31"
"3297","Tarom Romanian Air Transport Tarom Air","Y","N","1900-01-01","9999-12-31"
"3298","Air Mauritius Airmauritius","Y","N","1900-01-01","9999-12-31"
"3299","Wideroe’s Flyveselskap Wideroes","Y","N","1900-01-01","9999-12-31"
"3300","Azul Air Azul Air","Y","N","1900-01-01","9999-12-31"
"3301","Wizz Air Wizz Air","Y","N","1900-01-01","9999-12-31"
"3302","Flybe Ltd Flybeair","Y","N","1900-01-01","9999-12-31"
"3303","Tigerair Tigerair","Y","N","1900-01-01","9999-12-31"
"3304","Air Baltic Airbaltic","Y","N","1900-01-01","9999-12-31"
"3308","China Southern Airlines China Southern","Y","N","1900-01-01","9999-12-31"
"3351","Affiliated Auto Rental","Y","N","1900-01-01","9999-12-31"
