SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
V8,7338,"Print Shops, Quick Copy Services Or Reproduction Services",REFERENCE.CORE.MERCHANT_CATEGORY,7338,"Quick Copy, Reproduction, and Blueprinting Services"
V8,7333,"Photography, Art And Graphic -- Commercial",REFERENCE.CORE.MERCHANT_CATEGORY,7333,"Commercial Photography, Art, and Graphics"
V8,7322,Debt Collection Agencies,REFERENCE.CORE.MERCHANT_CATEGORY,7322,Collection Agencies
V8,7321,Consumer Credit Reporting Agencies,REFERENCE.CORE.MERCHANT_CATEGORY,7321,Consumer Credit Reporting Agencies
V8,7311,Advertising Services,REFERENCE.CORE.MERCHANT_CATEGORY,7311,Advertising Services
V8,7299,Misc Personal Services Not Elsewhere Classified,REFERENCE.CORE.MERCHANT_CATEGORY,7299,Miscellaneous Personal Services (not elsewhere Classified)
V8,7298,Beauty Or Health Spas,REFERENCE.CORE.MERCHANT_CATEGORY,7298,Health and Beauty Spas
V8,7297,Massage Parlors,REFERENCE.CORE.MERCHANT_CATEGORY,7297,Massage Parlors
V8,7296,"Clothing Rental -- Costumes, Formal Wear, Uniforms",REFERENCE.CORE.MERCHANT_CATEGORY,7296,"Clothing Rental â€“ Costumes, Uniforms, Formal Wear"
V8,7278,Buying Or Shopping Services Clubs,REFERENCE.CORE.MERCHANT_CATEGORY,7278,Buying and Shopping Services and Clubs
V8,7277,"Counseling Service -- Debt, Marriage, Personal",REFERENCE.CORE.MERCHANT_CATEGORY,7277,"Counseling Services â€“ Debt, Marriage, and Personal"
V8,7276,Tax Preparation Service,REFERENCE.CORE.MERCHANT_CATEGORY,7276,Tax Preparation Services
V8,7273,Dating Or Escort Services,REFERENCE.CORE.MERCHANT_CATEGORY,7273,Dating Services
V8,7261,Crematories Or Funeral Services,REFERENCE.CORE.MERCHANT_CATEGORY,7261,Funeral Services and Crematories
V8,7251,"Shoe Repair Shops, Shoe Shine Parlors",REFERENCE.CORE.MERCHANT_CATEGORY,7251,"Shoe Repair Shops, Shoeshine Parlors, and Hat Cleaning Shops"
V8,7230,Barber Or Beauty Shops,REFERENCE.CORE.MERCHANT_CATEGORY,7230,Beauty and Barber Shops
V8,7221,Photographic Studios,REFERENCE.CORE.MERCHANT_CATEGORY,7221,Photographic Studios
V8,7217,Upholstery Cleaning Or Carpet Cleaning,REFERENCE.CORE.MERCHANT_CATEGORY,7217,Carpet and Upholstery Cleaning
V8,7216,Dry Cleaners,REFERENCE.CORE.MERCHANT_CATEGORY,7216,Dry Cleaners
V8,7211,Diaper Services Or Laundromats,REFERENCE.CORE.MERCHANT_CATEGORY,7211,Laundries â€“ Family and Commercial
V8,7210,"Cleaning, Laundry And Garment Services",REFERENCE.CORE.MERCHANT_CATEGORY,7210,"Laundry, Cleaning, and Garment Services"
V8,7033,Campgrounds Or Trailer Parks,REFERENCE.CORE.MERCHANT_CATEGORY,7033,Trailer Parks and Campgrounds
V8,7032,Sport/Recreational Camps,REFERENCE.CORE.MERCHANT_CATEGORY,7032,Sporting and Recreational Camps
V8,7012,Timeshares,REFERENCE.CORE.MERCHANT_CATEGORY,7012,Timeshares
V8,7011,"Lodging,Hotels,Motels,Resorts",REFERENCE.CORE.MERCHANT_CATEGORY,7011,"Lodging â€“ Hotels, Motels, Resorts, Central Reservation Services (not elsewhere Classified)"
V8,6540,Poi Funding Transactions,REFERENCE.CORE.MERCHANT_CATEGORY,6540,Non-Financial Institutions â€“ Stored Value Card Purchase/load
V8,6535,Value Purchase-Member Financial Institut,REFERENCE.CORE.MERCHANT_CATEGORY,6535,Value Purchase - Member Financial Institution
V8,6533,Payment Transaction - Merchant,REFERENCE.CORE.MERCHANT_CATEGORY,6533,Payment Transaction - Merchant
V8,6513,Real Estate Agents And Managers-Rentals,REFERENCE.CORE.MERCHANT_CATEGORY,6513,Real Estate Agents and Managers
V8,6300,Insurance Sales And Underwriting,REFERENCE.CORE.MERCHANT_CATEGORY,6300,"Insurance Sales, Underwriting, and Premiums"
