SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
V8,701,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V8,998,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V8,500,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V8,550,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V8,DQMapping,#NA,REFERENCE.CORE.BRAND,DQMapping,Source value cannot be mapped
V8,DQMissing,#NA,REFERENCE.CORE.BRAND,DQMissing,Source value not provided
V2,DQMapping,#NA,REFERENCE.CORE.BRAND,DQMapping,Source value cannot be mapped
V2,DQMissing,#NA,REFERENCE.CORE.BRAND,DQMissing,Source value not provided
V10,DQMapping,#NA,REFERENCE.CORE.BRAND,DQMapping,Source value cannot be mapped
V10,DQMissing,#NA,REFERENCE.CORE.BRAND,DQMissing,Source value not provided
