CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,V8,090,Solomon Islands Dollar,REFERENCE.CORE.CURRENCY,SBD,Solomon Islands Dollar
,V8,417,Som,REFERENCE.CORE.CURRENCY,KGS,Som
,V8,706,Somali Shilling,REFERENCE.CORE.CURRENCY,SOS,Somali Shilling
,V8,972,Somoni,REFERENCE.CORE.CURRENCY,TJS,Somoni
,V8,728,South Sudanese Pound,REFERENCE.CORE.CURRENCY,SSP,South Sudanese Pound
,V8,144,Sri Lanka Rupee,REFERENCE.CORE.CURRENCY,LKR,Sri Lanka Rupee
,V8,968,Surinam Dollar,REFERENCE.CORE.CURRENCY,SRD,Surinam Dollar
,V8,752,Swedish Krona,REFERENCE.CORE.CURRENCY,SEK,Swedish Krona
,V8,756,Swiss Franc,REFERENCE.CORE.CURRENCY,CHF,Swiss Franc
,V8,324,Syli,REFERENCE.CORE.CURRENCY,GNE,Syli
,V8,760,Syrian Pound,REFERENCE.CORE.CURRENCY,SYP,Syrian Pound
,V8,050,Taka,REFERENCE.CORE.CURRENCY,BDT,Taka
,V8,882,Tala,REFERENCE.CORE.CURRENCY,WST,Tala
,V8,834,Tanzanian Shilling,REFERENCE.CORE.CURRENCY,TZS,Tanzanian Shilling
,V8,398,Tenge,REFERENCE.CORE.CURRENCY,KZT,Tenge
,V8,999,The codes assigned for transactions where no currency is involved,REFERENCE.CORE.CURRENCY,XXX,The codes assigned for transactions where no currency is involved
,V8,780,Trinidad and Tobago Dollar,REFERENCE.CORE.CURRENCY,TTD,Trinidad and Tobago Dollar
,V8,496,Tugrik,REFERENCE.CORE.CURRENCY,MNT,Tugrik
,V8,788,Tunisian Dinar,REFERENCE.CORE.CURRENCY,TND,Tunisian Dinar
,V8,784,UAE Dirham,REFERENCE.CORE.CURRENCY,AED,UAE Dirham
,V8,800,Uganda Shilling,REFERENCE.CORE.CURRENCY,UGS,Uganda Shilling
,V8,840,US Dollar,REFERENCE.CORE.CURRENCY,USD,US Dollar
,V8,860,Uzbekistan Sum,REFERENCE.CORE.CURRENCY,UZS,Uzbekistan Sum
,V8,548,Vatu,REFERENCE.CORE.CURRENCY,VUV,Vatu
,V8,410,Won,REFERENCE.CORE.CURRENCY,KRW,Won
,V8,886,Yemeni Rial,REFERENCE.CORE.CURRENCY,YER,Yemeni Rial
,V8,392,Yen,REFERENCE.CORE.CURRENCY,JPY,Yen
,V8,156,Yuan Renminbi,REFERENCE.CORE.CURRENCY,CNY,Yuan Renminbi
,V8,894,Zambian Kwacha,REFERENCE.CORE.CURRENCY,ZMK,Zambian Kwacha
,V8,967,Zambian Kwacha,REFERENCE.CORE.CURRENCY,ZMW,Zambian Kwacha
,V8,924,Zimbabwe Gold,REFERENCE.CORE.CURRENCY,ZWG,Zimbabwe Gold
,V8,932,Zimbabwe Dollar,REFERENCE.CORE.CURRENCY,ZWL,Zimbabwe Dollar
,V8,985,Zloty,REFERENCE.CORE.CURRENCY,PLN,Zloty
,V8,303,#N/A,REFERENCE.CORE.CURRENCY,DQMapping,Source value cannot be mapped
,V8,383,#N/A,REFERENCE.CORE.CURRENCY,DQMapping,Source value cannot be mapped
,V8,540,#N/A,REFERENCE.CORE.CURRENCY,DQMapping,Source value cannot be mapped
,V8,583,#N/A,REFERENCE.CORE.CURRENCY,DQMapping,Source value cannot be mapped
,V8,000,#N/A,REFERENCE.CORE.CURRENCY,DQMapping,Source value cannot be mapped
